female,second.male,offspring.percent
UK,UK,81
UK,UK,83
UK,UK,94
UK,UK,62
UK,UK,76
UK,UK,75
UK,UK,80
UK,UK,57
UK,UK,92
UK,UK,67
UK,Swiss,96
UK,Swiss,91
UK,Swiss,98
UK,Swiss,89
UK,Swiss,78
UK,Swiss,93
UK,Swiss,77
UK,Swiss,83
UK,Swiss,96
UK,Swiss,90
Swiss,UK,83
Swiss,UK,80
Swiss,UK,76
Swiss,UK,82
Swiss,UK,90
Swiss,UK,67
Swiss,UK,69
Swiss,UK,94
Swiss,UK,71
Swiss,UK,81
Swiss,Swiss,43
Swiss,Swiss,60
Swiss,Swiss,55
Swiss,Swiss,67
Swiss,Swiss,72
Swiss,Swiss,54
Swiss,Swiss,58
Swiss,Swiss,55
Swiss,Swiss,63
Swiss,Swiss,64
