"CCR","behavior"
2.4,"strict"
0.8,"strict"
1.6,"strict"
2.2,"strict"
13.1,"strict"
2,"strict"
2,"strict"
2.6,"strict"
1,"strict"
5.5,"strict"
4.4,"strict"
1.5,"strict"
25.8,"strict"
1.5,"strict"
5.5,"strict"
3.3,"strict"
19.4,"strict"
0.3,"strict"
5.5,"strict"
3.3,"strict"
7.4,"strict"
9.4,"strict"
0.8,"strict"
25,"strict"
14.4,"strict"
1.6,"strict"
4.4,"strict"
4.9,"strict"
6.2,"strict"
2.3,"strict"
35.9,"strict"
4.1,"loose"
354.4,"loose"
3.1,"loose"
69,"loose"
98.3,"loose"
31.8,"loose"
11.3,"loose"
3.8,"loose"
9.2,"loose"
27.8,"loose"
6.9,"loose"
37.5,"loose"
7.4,"loose"
32.9,"loose"
14.2,"loose"
7.8,"loose"
27.8,"loose"
9.7,"loose"
4.9,"loose"
23.1,"loose"
61.3,"loose"
22.9,"loose"
37.2,"loose"
12.7,"loose"
3,"loose"
59.2,"loose"
17.3,"loose"
58.7,"loose"
14.4,"loose"
3.4,"loose"
36.7,"loose"
39.7,"loose"
17.5,"loose"
28.3,"loose"
2,"loose"
12.8,"loose"
15.3,"loose"
10,"loose"
11.7,"loose"
39.6,"loose"
59.8,"loose"
34.5,"loose"
6.6,"loose"
3.7,"loose"
21,"loose"
65.8,"loose"
10.4,"loose"
11.6,"loose"
3,"loose"
81,"loose"
10.9,"loose"
10.8,"loose"
22.2,"loose"
112,"loose"
134.4,"loose"
20.2,"loose"
151.1,"loose"
9.1,"loose"
27.2,"loose"
3.9,"loose"
2.6,"loose"
49.8,"loose"
64.1,"loose"
3.6,"loose"
3.5,"loose"
8.5,"loose"
11,"loose"
2.9,"loose"
23.6,"loose"
141.8,"loose"
33.4,"loose"
103.7,"loose"
7.5,"loose"
2.1,"loose"
7.7,"loose"
26.1,"loose"
7,"loose"
5.3,"loose"
109.1,"loose"
23.4,"loose"
73.9,"loose"
10.8,"loose"
8.1,"loose"
133.4,"loose"
51.1,"loose"
34,"loose"
34.4,"loose"
109.8,"loose"
8.2,"loose"
11.6,"loose"
22.2,"loose"
60.1,"loose"
6.8,"loose"
39.9,"loose"
16.4,"loose"
4.1,"loose"
94.2,"loose"
3,"loose"
2.6,"loose"
0.3,"loose"
10.6,"loose"
13.9,"loose"
7.4,"loose"
5.1,"loose"
11.7,"loose"
14.3,"loose"
9.7,"loose"
6.1,"loose"
48,"loose"
9.2,"loose"
15.2,"loose"
68.9,"loose"
30.1,"loose"
2.6,"loose"
1.7,"loose"
5.9,"loose"
8.2,"loose"
4.4,"loose"
14.8,"loose"
4.8,"loose"
23.8,"loose"
54.3,"loose"
10.5,"loose"
8.8,"loose"
24.3,"loose"
10.6,"loose"
52.5,"loose"
36.9,"loose"
4.7,"loose"
1.5,"loose"
3.4,"loose"
8.1,"loose"
10.8,"loose"
